agency_name,received_in_rp,outstanding_from_prev_rp,statutorytimeline,total_for_rp,closed_in_rp,carried_over_to_rp,media,academia,business,organization,public,declined_to_identify,abandoned_in_rp,neither_confirm_nor_deny,s13exemp,s15exemp,s16exemp,s20exemp,fiscal_year,people_years,total_costs
Indigenous and Northern Affairs Canada,652,123,324,775,627,148,176,42,101,81,252,0,37,0,22,3,34,167,2015-2016,9.5,576556
Innovation Science and Economic Development Canada,885,137,638,1022,904,118,252,94,226,46,97,170,71,0,12,51,25,177,2015-2016,12.44,1096223
International Development Research Centre,3,1,1,4,4,0,2,0,0,0,1,0,0,0,0,0,0,2,2015-2016,0.5,10000
Jacques Cartier and Champlain Bridges Incorporated,7,2,5,9,9,0,5,0,1,0,1,0,1,0,0,0,5,20,2015-2016,2.2,23125
Laurentian Pilotage Authority Canada,1,2,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.08,9344
Library and Archives of Canada,737,124,540,861,758,103,13,266,19,10,29,400,44,1,63,49,1,27,2015-2016,19.23,1331105
Mackenzie Valley Environmental Impact Review Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,1,1731
Mackenzie Valley Land and Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Marine Atlantic Inc,9,3,7,12,12,0,2,0,0,2,0,5,0,0,0,0,1,7,2015-2016,0.3,106786
Military Grievances External Review Committee,6,0,6,6,6,0,1,1,1,3,0,0,0,0,0,0,0,0,2015-2016,1,2753
Military Police Complaints Commission,18,4,9,22,14,8,3,0,6,1,8,0,3,0,0,0,0,9,2015-2016,1.03,63450
Montreal Port Authority,3,1,2,4,4,0,1,0,1,1,0,0,3,0,0,0,0,0,2015-2016,0.1,15000
Nanaimo Port Authority,4,1,0,5,2,3,0,0,0,0,4,0,2,0,0,0,0,0,2015-2016,1,13767
National Arts Centre,6,1,6,7,7,0,5,0,1,0,0,0,2,0,0,0,0,3,2015-2016,0.1,15220
National Capital Commission,103,29,52,132,111,21,53,1,1,17,31,0,6,0,0,0,19,22,2015-2016,1.94,249487
National Defence,2189,620,1018,2809,2138,671,830,83,165,60,959,92,539,2,149,636,163,344,2015-2016,41.5,3208518
National Energy Board,57,19,23,76,67,9,33,1,3,4,16,0,4,0,0,0,7,5,2015-2016,2.65,280805
National Film Board of Canada,15,1,11,16,14,2,1,12,0,0,0,2,0,0,0,0,0,2,2015-2016,0.7,40916
National Gallery of Canada,6,0,1,6,4,2,3,0,0,0,3,0,0,0,0,0,0,0,2015-2016,0.06,10253
National Research Council of Canada,23,1,11,24,20,4,7,2,6,2,6,0,1,0,0,2,2,16,2015-2016,1.5,148965
Natural Resources Canada,430,208,233,638,536,102,70,9,59,46,101,145,32,0,48,112,75,194,2015-2016,21.44,1524639
Natural Sciences and Engineering Research Council of Canada,15,9,2,24,22,2,1,0,0,7,7,0,3,0,0,0,0,22,2015-2016,1.4,113137
Northern Pipeline Agency Canada,2,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,2015-2016,0.04,1000
Nunavut Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.05,5000
Office of Infrastructure of Canada,128,101,64,229,161,68,15,0,8,2,103,0,13,0,37,2,22,35,2015-2016,8.09,779328
Office of the Administrator of the Ship-source Oil Pollution Fund,2,0,2,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,2015-2016,4,35493
Office of the Auditor General of Canada,17,1,9,18,17,1,5,0,3,1,8,0,1,0,0,0,4,7,2015-2016,1.25,100950
Office of the Commissioner of Lobbying,5,0,5,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,2015-2016,0.25,6425
Office of the Commissioner of Official Languages,22,1,17,23,22,1,5,0,6,0,9,2,0,0,0,0,3,1,2015-2016,0.83,110000
Office of the Correctional Investigator of Canada,11,3,6,14,13,1,4,0,0,2,5,0,3,0,0,0,2,0,2015-2016,0.5,30471
Office of the Information Commissioner of Canada,120,0,112,120,119,1,23,0,10,0,87,0,4,0,1,0,54,1,2015-2016,1.63,170236
Office of the Ombudsman for the Department of National Defence and the Canadian Forces,3,1,2,4,4,0,0,0,0,0,3,0,1,0,0,0,0,1,2015-2016,0.48,31170
Office of the Privacy Commissioner of Canada,91,8,52,99,95,4,30,2,26,2,31,0,3,0,3,11,27,17,2015-2016,1.64,112337
Office of the Public Sector Integrity Commissioner of Canada,44,2,20,46,30,16,1,0,3,0,40,0,4,0,0,0,10,1,2015-2016,1,43000
Office of the Superintendent of Financial Institutions Canada,37,4,23,41,35,6,11,0,6,1,19,0,2,0,1,0,0,27,2015-2016,0.68,104862
Old Port of Montreal,1,1,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2015-2016,0.02,1000
Oshawa Port Authority,3,0,1,3,3,0,2,0,0,0,1,0,0,0,0,0,0,3,2015-2016,0.03,2375
Pacific Pilotage Authority Canada,7,0,6,7,6,1,1,0,2,2,2,0,0,0,0,0,0,0,2015-2016,0.05,2500
Parc Downsview Park Inc.,7,0,7,7,7,0,0,0,7,0,0,0,7,0,0,0,0,0,2015-2016,0.2,10000
Parks Canada Agency,175,77,67,252,169,83,85,7,25,11,47,0,29,0,8,0,0,27,2015-2016,6,407450
Parole Board of Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Patented Medicine Prices Review Board,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.05,10000
Pierre Eliott Trudeau Foundation,4,0,4,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,2015-2016,0.05,5765
Polar Knowledge Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Port Metro Vancouver,22,0,17,22,21,1,3,0,4,0,15,0,0,0,0,0,1,5,2015-2016,1.1,45000
PPP Canada Inc.,3,2,0,5,4,1,1,0,0,0,2,0,2,0,1,0,0,0,2015-2016,0.97,106241
Prince Rupert Port Authority,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.01,1000
Privy Council Office,559,250,259,809,620,189,330,46,15,31,137,0,32,0,7,170,121,74,2015-2016,19.96,1522821
Public Health Agency of Canada,75,37,38,112,76,36,17,3,22,3,16,14,15,0,8,5,4,7,2015-2016,4.76,454853
Public Prosecution Service of Canada,31,4,23,35,32,3,4,1,9,1,16,0,6,0,1,0,0,2,2015-2016,1.6,127921
Public Safety Canada,346,51,213,397,356,41,222,24,8,14,70,8,30,0,46,138,131,41,2015-2016,9.97,818854
Public Sector Pension Investment Board,4,0,2,4,3,1,1,0,0,0,3,0,0,0,0,0,1,0,2015-2016,0.5,54732
Public Service Commission of Canada,180,10,133,190,178,12,5,1,14,7,145,8,29,1,0,0,38,25,2015-2016,0.73,73642
Public Services and Procurement Canada,863,220,459,1083,886,197,193,4,246,17,237,166,73,24,6,44,57,419,2015-2016,33.53,2662410
Quebec Port Authority,19,0,19,19,19,0,7,1,2,7,2,0,1,0,0,0,0,17,2015-2016,3,70000
RCMH-MRCF Inc. (Royal Canadian Mint),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Revera Inc. (Public Sector Pension Investment Board),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.01,500
Ridley Terminals Inc.,5,0,2,5,5,0,2,0,1,2,0,0,1,0,0,0,0,4,2015-2016,0.3,49000
Royal Canadian Mint,34,26,9,60,58,2,29,1,1,1,1,1,9,0,0,0,7,6,2015-2016,1.41,138107
Royal Canadian Mounted Police,3854,612,2318,4466,3758,708,427,79,417,143,2524,264,632,30,452,31,2326,79,2015-2016,21,1735224
Royal Canadian Mounted Police External Review Committee,9,0,5,9,6,3,1,0,0,0,8,0,1,0,0,0,0,1,2015-2016,0.1,10000
Saguenay Port Authority,2,1,0,3,2,1,1,0,1,0,0,0,0,0,0,0,0,1,2015-2016,0.01,7700
Sahtu Land and Water Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Sahtu Land Use Planning Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Saint John Port Authority,2,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2015-2016,0,0
Seaway International Bridge Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,2,0
Security Intelligence Review Committee,19,5,8,24,16,8,8,5,1,1,4,0,0,0,8,22,28,2,2015-2016,1,69
Sept-Îles Port Authority,7,0,4,7,6,1,1,1,4,1,0,0,0,0,0,0,0,0,2015-2016,0.5,0
Shared Services Canada,222,40,147,262,232,30,41,2,60,3,39,77,20,0,5,20,60,123,2015-2016,11.07,1002871
Social Sciences and Humanities Research Council,18,1,9,19,17,2,2,6,8,0,2,0,2,0,0,0,1,9,2015-2016,0.38,25023
St. John's Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Standards Council of Canada,4,0,2,4,4,0,2,0,1,0,1,0,1,0,0,0,1,1,2015-2016,0.01,26246
Statistics Canada,146,1,132,147,144,3,38,19,10,22,57,0,10,0,0,0,13,17,2015-2016,2.85,250294
Status of Women Canada,15,5,9,20,19,1,7,1,1,1,4,1,1,0,0,0,0,9,2015-2016,1,74460
Sustainable Development Technology Canada,26,1,2,27,24,3,1,0,0,0,25,0,0,0,2,2,2,33,2015-2016,2.25,115000
Telefilm Canada,34,9,19,43,40,3,1,0,33,0,0,0,13,0,11,14,2,37,2015-2016,1.5,165453
The National Battlefields Commission,3,0,2,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,2015-2016,0.06,3723
Thunder Bay Port Authority,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.02,520
Toronto Port Authority,5,4,3,9,8,1,2,0,2,0,1,0,2,0,0,0,1,2,2015-2016,6,153250
Transport Canada,1032,127,309,1159,909,250,476,25,212,46,249,24,143,1,52,102,109,417,2015-2016,24.57,1704149
Transportation Safety Board of Canada,89,29,66,118,94,24,23,6,41,1,18,0,17,0,21,4,11,46,2015-2016,5.95,459668
Treasury Board of Canada Secretariat,503,83,301,586,464,122,162,12,51,16,177,85,44,1,1,26,31,60,2015-2016,7.5,525632
Trois-Rivières Port Authority,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,105
Veterans Affairs Canada,262,77,132,339,291,48,54,5,7,14,152,30,16,0,2,2,37,15,2015-2016,6.96,602485
Veterans Review and Appeal Board,12,2,14,14,14,0,2,0,0,2,7,1,1,0,0,0,0,0,2015-2016,1.1,80955
VIA Rail Canada,33,13,24,46,45,1,14,2,5,3,9,0,6,0,0,4,10,17,2015-2016,0.97,76630
Western Economic Diversification Canada,2,1,1,3,3,0,0,1,0,0,1,0,0,0,0,0,0,3,2015-2016,0.47,47689
Windsor Port Authority,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,500
Windsor-Detroit Bridge Authority,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0.65,54938
Yukon Environment Socio-Economic Assessment Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Yukon Surface Rights Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-2016,0,0
Administrative Tribunals Support Service of Canada,18,6,14,24,17,7,2,0,6,2,8,0,2,0,0,0,1,0,2016-2017,1.94,158674
Agriculture and Agri-Food Canada,222,59,171,281,245,36,32,4,54,79,53,0,37,0,9,18,36,100,2016-2017,8.82,734967
Asia Pacific Foundation of Canada,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2016-2017,1,3500
Atlantic Canada Opportunities Agency,32,3,16,35,32,3,7,1,10,4,10,0,14,0,1,1,2,17,2016-2017,2.13,187019
Atlantic Pilotage Authority Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Atomic Energy of Canada Limited,40,6,34,46,44,2,5,8,7,2,18,0,10,0,2,2,6,19,2016-2017,1.75,267183
Bank of Canada,84,15,40,99,83,16,50,2,21,0,11,0,9,0,15,16,15,74,2016-2017,6.32,685310
Belledune Port Authority,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
British Columbia Treaty Commission,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2016-2017,0,0
Business Development Bank of Canada,9,0,6,9,8,1,0,2,2,0,5,0,1,0,0,0,0,0,2016-2017,3,96243
Canada Border Services Agency,6265,1606,4284,7871,6392,1479,285,128,2538,178,2809,327,687,17,1059,785,3633,67,2016-2017,61.75,1789043
Canada Council for the Arts,26,1,24,27,26,1,0,2,2,16,6,0,1,0,0,0,0,2,2016-2017,0.37,48285
Canada Deposit Insurance Corporation,1,2,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,6,2016-2017,0.3,45172
Canada Development Investment Corporation,6,0,2,6,5,1,1,0,1,3,1,0,1,0,0,0,0,2,2016-2017,0.5,50383
Canada Eldor Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Canada Foundation for Innovation,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2016-2017,0.04,6970
Canada GEN Investment Corporation,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2016-2017,0,0
Canada Hibernia Holding Corporation,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Canada Lands Company CLC Limited (Canada Lands Company Limited),11,0,9,11,10,1,7,0,1,0,3,0,0,0,0,0,0,0,2016-2017,0.2,18000
Canada Lands Company Limited,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2016-2017,0.1,5000
Canada Mortgage and Housing Corporation,75,8,53,83,72,11,24,2,11,12,23,3,1,0,0,0,0,36,2016-2017,1.54,333451
Canada Post Corporation,104,26,40,130,104,26,27,2,15,11,49,0,17,0,0,4,3,19,2016-2017,4.68,407502
Canada Revenue Agency,2747,1493,1134,4240,3112,1128,95,21,648,41,1813,129,702,40,116,44,860,94,2016-2017,75,5976996
Canada School of Public Service,20,4,16,24,23,1,1,1,10,0,8,0,0,0,0,0,1,13,2016-2017,1.33,101402
Canada Science and Technology Museum Corporation,3,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,1,2,2016-2017,0.13,8900
Canada-Newfoundland and Labrador Offshore Petroleum Board,20,3,6,23,22,1,2,0,17,0,1,0,0,0,1,0,0,9,2016-2017,1,95388
Canada-Nova-Scotia Offshore Petroleum Board,7,0,7,7,7,0,1,0,4,2,0,0,0,0,0,0,0,1,2016-2017,0.2,18300
Canadian Air Transport Security Authority,45,7,32,52,49,3,34,2,3,0,6,0,2,0,2,7,35,9,2016-2017,1.2,120000
Canadian Broadcasting Corporation,164,7,98,171,142,29,28,19,23,2,92,0,7,0,0,0,13,30,2016-2017,6,574779
Canadian Centre for Occupational Health and Safety,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2016-2017,1,7685
Canadian Commercial Corporation,18,18,11,36,31,5,8,1,0,3,6,0,1,0,9,15,2,28,2016-2017,1.5,163856
Canadian Dairy Commission,5,0,3,5,3,2,2,1,1,0,1,0,0,0,0,0,0,1,2016-2017,0.05,4600
Canadian Environmental Assessment Agency,51,8,38,59,53,6,7,0,22,13,3,6,3,0,2,0,2,14,2016-2017,3.85,335262
Canadian Food Inspection Agency,334,52,187,386,319,67,50,8,137,32,107,0,21,0,23,15,33,231,2016-2017,13.07,1054689
Canadian Grain Commission,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2016-2017,0.1,5996
Canadian Heritage,566,54,271,620,479,141,170,30,108,30,104,124,24,0,15,31,36,130,2016-2017,8.95,780839
Canadian Human Rights Commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-2017,0,0
Canadian Institutes of Health Research,25,8,3,33,31,2,18,2,1,2,2,0,0,0,0,0,0,0,2016-2017,1,82000
Canadian Museum for Human Rights,4,0,1,4,3,1,1,0,1,2,0,0,2,0,0,0,1,1,2016-2017,0.1,7000
Canadian Museum of History and Canadian War Museum,10,1,4,11,7,4,7,1,0,1,1,0,0,0,0,0,2,4,2016-2017,0.9,71664
Canadian Museum of Immigration at Pier 21,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2016-2017,0.05,6285
